X [s],L DELTOID POSTERIOR: EMG 5 [V],L DELTOID POSTERIOR: EMG 5->filter (FilterSlidingRMS45) [V]
1.334118e-001,-1.829557e-005,0.000000e+000
1.342059e-001,-1.560998e-005,0.000000e+000
1.350000e-001,-1.560998e-005,0.000000e+000
1.357941e-001,-1.393149e-005,0.000000e+000
1.365882e-001,-1.493858e-005,0.000000e+000
1.373824e-001,-1.091020e-005,0.000000e+000
1.381765e-001,-6.210422e-006,0.000000e+000
1.389706e-001,-7.553216e-006,0.000000e+000
1.397647e-001,-6.210422e-006,0.000000e+000
1.405588e-001,-1.091020e-005,0.000000e+000
1.413529e-001,-1.359579e-005,0.000000e+000
1.421471e-001,-1.292439e-005,0.000000e+000
1.429412e-001,-1.091020e-005,0.000000e+000
1.437353e-001,-1.158160e-005,0.000000e+000
1.445294e-001,-1.225299e-005,0.000000e+000
1.453235e-001,-1.292439e-005,0.000000e+000
1.461176e-001,-1.695277e-005,0.000000e+000
1.469118e-001,-1.980621e-005,0.000000e+000
1.477059e-001,-1.896696e-005,0.000000e+000
1.485000e-001,-1.930266e-005,0.000000e+000
1.492941e-001,-1.628138e-005,0.000000e+000
1.500882e-001,-1.426719e-005,0.000000e+000
1.508824e-001,-1.560998e-005,0.000000e+000
1.516765e-001,-1.762417e-005,0.000000e+000
1.524706e-001,-1.628138e-005,0.000000e+000
1.532647e-001,-1.661708e-005,0.000000e+000
1.540588e-001,-1.762417e-005,0.000000e+000
1.548529e-001,-1.762417e-005,0.000000e+000
1.556471e-001,-1.628138e-005,0.000000e+000
1.564412e-001,-1.493858e-005,0.000000e+000
1.572353e-001,-1.359579e-005,0.000000e+000
1.580294e-001,-1.560998e-005,0.000000e+000
1.588235e-001,-1.493858e-005,0.000000e+000
1.596176e-001,-1.292439e-005,0.000000e+000
1.604118e-001,-1.326009e-005,0.000000e+000
1.612059e-001,-1.359579e-005,0.000000e+000
1.620000e-001,-1.057450e-005,0.000000e+000
1.627941e-001,-9.063859e-006,0.000000e+000
1.635882e-001,-1.091020e-005,0.000000e+000
1.643824e-001,-1.191730e-005,0.000000e+000
1.651765e-001,-1.258869e-005,0.000000e+000
1.659706e-001,-1.225299e-005,0.000000e+000
1.667647e-001,-1.460288e-005,0.000000e+000
1.675588e-001,-1.661708e-005,0.000000e+000
1.683529e-001,-1.644922e-005,0.000000e+000
1.691471e-001,-1.661708e-005,0.000000e+000
1.699412e-001,-1.493858e-005,0.000000e+000
1.707353e-001,-1.225299e-005,0.000000e+000
1.715294e-001,-1.091020e-005,0.000000e+000
1.723235e-001,-9.567407e-006,0.000000e+000
1.731176e-001,-5.874723e-006,0.000000e+000
1.739118e-001,-9.567407e-006,0.000000e+000
1.747059e-001,-1.124590e-005,0.000000e+000
1.755000e-001,-1.124590e-005,0.000000e+000
